route_key	major	minor	n_events	n_blocks	min_loss	blocks
5_3.12	5	3	6	2	0	2+2/1;2+3/0
5_3.13	5	3	6	1	1	2+2/1
5_3.14	5	3	6	1	1	3+3/1
5_3.15	5	3	6	1	1	2+2/1
5_3.16	5	3	6	2	0	1+2/0;2+2/1
5_3.17	5	3	6	2	0	1+2/0;2+2/1
5_3.18	5	3	6	3	0	1+2/0;2+2/1;3+3/1
5_3.19	5	3	6	2	0	1+2/0;2+2/1
5_3.2	5	3	6	1	0	1+2/0
5_3.20	5	3	6	2	0	1+2/0;2+2/1
5_3.21	5	3	6	2	0	1+2/0;2+2/1
5_3.22	5	3	6	0	-1	
5_3.23	5	3	6	1	1	2+2/1
5_3.24	5	3	6	1	1	2+2/1
5_3.25	5	3	6	1	1	2+2/1
5_3.26	5	3	6	1	1	2+2/1
5_3.27	5	3	6	1	0	1+2/0
5_3.3	5	3	6	2	0	1+2/0;3+3/1
5_3.4	5	3	6	2	0	1+2/0;3+3/1
5_3.5	5	3	6	1	0	1+2/0
5_3.6	5	3	6	1	0	1+2/0
5_3.7	5	3	6	2	0	1+2/0;3+3/1
5_3.8	5	3	6	3	0	1+2/0;2+2/1;3+3/1
5_3.9	5	3	6	1	1	2+2/1
5_4.1	5	4	7	2	0	1+2/0;2+2/1
5_4.10	5	4	7	1	0	1+2/0
5_4.11	5	4	7	1	0	1+2/0
5_4.12	5	4	7	2	0	1+2/0;3+3/1
5_4.13	5	4	7	3	0	1+2/0;3+3/1;3+4/0
5_4.14	5	4	7	1	0	1+2/0
5_4.15	5	4	7	2	0	1+2/0;2+2/1
5_4.16	5	4	7	2	0	1+2/0;2+2/1
5_4.17	5	4	7	2	0	1+2/0;2+2/1
5_4.18	5	4	7	2	0	1+2/0;2+2/1
5_4.19	5	4	7	2	0	1+2/0;2+2/1
5_4.2	5	4	7	2	0	1+2/0;2+2/1
5_4.20	5	4	7	3	0	1+2/0;2+2/1;3+3/1
5_4.21	5	4	7	2	0	1+2/0;2+2/1
5_4.22	5	4	7	4	0	1+2/0;2+2/1;3+3/1;3+4/0
5_4.23	5	4	7	2	0	1+2/0;2+2/1
5_4.24	5	4	7	5	0	1+2/0;2+2/1;2+3/0;3+3/1;3+4/0
5_4.25	5	4	7	2	0	2+2/1;2+3/0
5_4.26	5	4	7	2	1	2+2/1;4+4/1
5_4.27	5	4	7	1	1	2+2/1
5_4.28	5	4	7	2	0	2+2/1;2+3/0
5_4.29	5	4	7	1	1	2+2/1
5_4.3	5	4	7	2	0	1+2/0;2+2/1
5_4.30	5	4	7	1	1	2+2/1
5_4.31	5	4	7	1	0	1+2/0
5_4.32	5	4	7	2	0	1+2/0;3+3/1
5_4.33	5	4	7	3	0	2+2/1;2+3/0;3+3/1
5_4.34	5	4	7	2	0	2+2/1;2+3/0
5_4.35	5	4	7	2	0	2+2/1;2+3/0
5_4.36	5	4	7	2	0	2+2/1;2+3/0
5_4.37	5	4	7	1	0	1+2/0
5_4.38	5	4	7	3	0	1+2/0;3+3/1;3+4/0
5_4.39	5	4	7	1	0	1+2/0
5_4.4	5	4	7	4	0	1+2/0;2+2/1;3+3/1;4+4/1
5_4.40	5	4	7	2	0	1+2/0;3+3/1
5_4.41	5	4	7	1	0	1+2/0
5_4.42	5	4	7	2	0	1+2/0;3+3/1
5_4.43	5	4	7	2	0	1+2/0;2+2/1
5_4.44	5	4	7	3	0	1+2/0;2+2/1;3+3/1
5_4.45	5	4	7	3	0	2+2/1;2+3/0;3+3/1
5_4.46	5	4	7	1	1	2+2/1
5_4.47	5	4	7	2	0	1+2/0;2+2/1
5_4.48	5	4	7	3	0	1+2/0;2+2/1;3+3/1
5_4.49	5	4	7	2	0	1+2/0;2+2/1
5_4.5	5	4	7	1	0	1+2/0
5_4.50	5	4	7	5	0	1+2/0;2+2/1;2+3/0;3+3/1;3+4/0
5_4.51	5	4	7	2	0	1+2/0;2+2/1
5_4.52	5	4	7	2	0	1+2/0;2+2/1
5_4.53	5	4	7	1	0	1+2/0
5_4.54	5	4	7	1	0	1+2/0
5_4.55	5	4	7	1	0	1+2/0
5_4.56	5	4	7	3	0	1+2/0;3+3/1;4+4/1
5_4.57	5	4	7	4	0	1+2/0;3+3/1;3+4/0;4+4/1
5_4.58	5	4	7	1	0	1+2/0
5_4.59	5	4	7	2	0	2+2/1;2+3/0
5_4.6	5	4	7	5	0	1+2/0;2+2/1;3+3/1;3+4/0;4+4/1
5_4.60	5	4	7	2	0	2+2/1;2+3/0
5_4.61	5	4	7	0	-1	
5_4.62	5	4	7	2	0	2+2/1;2+3/0
5_4.63	5	4	7	0	-1	
5_4.64	5	4	7	2	0	2+2/1;2+3/0
5_4.65	5	4	7	0	-1	
5_4.66	5	4	7	2	0	2+2/1;2+3/0
5_4.67	5	4	7	0	-1	
5_4.68	5	4	7	2	0	2+2/1;2+3/0
5_4.69	5	4	7	2	0	1+2/0;3+3/1
5_4.7	5	4	7	3	0	1+2/0;2+2/1;3+3/1
5_4.70	5	4	7	1	0	1+2/0
5_4.71	5	4	7	1	0	1+2/0
5_4.72	5	4	7	1	0	1+2/0
5_4.73	5	4	7	2	0	1+2/0;3+3/1
5_4.74	5	4	7	1	1	2+2/1
5_4.75	5	4	7	1	1	2+2/1
5_4.76	5	4	7	1	1	2+2/1
5_4.77	5	4	7	1	1	2+2/1
5_4.78	5	4	7	1	1	2+2/1
5_4.79	5	4	7	1	1	2+2/1
5_4.8	5	4	7	3	0	1+2/0;3+3/1;3+4/0
5_4.80	5	4	7	1	1	2+2/1
5_4.81	5	4	7	2	0	2+2/1;2+3/0
5_4.82	5	4	7	1	0	1+2/0
5_4.83	5	4	7	1	1	2+2/1
5_4.84	5	4	7	1	1	2+2/1
5_4.85	5	4	7	1	1	2+2/1
5_4.86	5	4	7	2	0	2+2/1;2+3/0
5_4.87	5	4	7	2	0	1+2/0;2+2/1
5_4.88	5	4	7	4	0	1+2/0;2+2/1;2+3/0;3+3/1
5_4.89	5	4	7	2	0	1+2/0;2+2/1
5_4.9	5	4	7	1	0	1+2/0
5_4.90	5	4	7	4	0	1+2/0;2+2/1;2+3/0;3+3/1
5_4.91	5	4	7	2	1	2+2/1;3+3/1
5_4.92	5	4	7	2	1	2+2/1;3+3/1
5_4.93	5	4	7	1	1	2+2/1
5_4.94	5	4	7	1	1	2+2/1
5_4.95	5	4	7	1	1	2+2/1
5_4.96	5	4	7	1	1	2+2/1
5_4.97	5	4	7	2	0	2+2/1;2+3/0
5_4.98	5	4	7	1	1	2+2/1
5_4.99	5	4	7	2	0	2+2/1;2+3/0
5_5.1	5	5	8	2	0	1+2/0;2+2/1
5_5.10	5	5	8	2	0	1+2/0;3+3/1
5_5.100	5	5	8	1	1	2+2/1
5_5.101	5	5	8	2	1	2+2/1;3+3/1
5_5.102	5	5	8	3	0	2+2/1;2+3/0;3+3/1
5_5.103	5	5	8	2	0	2+2/1;2+3/0
5_5.104	5	5	8	1	1	2+2/1
5_5.105	5	5	8	3	1	2+2/1;3+3/1;4+4/1
5_5.106	5	5	8	4	0	2+2/1;2+3/0;3+3/1;4+4/1
5_5.107	5	5	8	2	0	2+2/1;2+3/0
5_5.108	5	5	8	1	1	2+2/1
5_5.109	5	5	8	1	1	2+2/1
5_5.11	5	5	8	5	0	1+2/0;2+2/1;2+3/0;3+3/1;4+4/1
5_5.110	5	5	8	2	0	2+2/1;2+3/0
5_5.111	5	5	8	2	0	2+2/1;2+3/0
5_5.112	5	5	8	1	1	2+2/1
5_5.113	5	5	8	1	1	2+2/1
5_5.114	5	5	8	1	1	2+2/1
5_5.115	5	5	8	1	1	2+2/1
5_5.116	5	5	8	1	1	2+2/1
5_5.117	5	5	8	1	1	2+2/1
5_5.118	5	5	8	2	0	1+2/0;2+2/1
5_5.119	5	5	8	2	0	1+2/0;2+2/1
5_5.12	5	5	8	4	0	1+2/0;2+2/1;2+3/0;4+4/1
5_5.120	5	5	8	2	0	1+2/0;3+3/1
5_5.121	5	5	8	2	0	1+2/0;3+3/1
5_5.122	5	5	8	2	0	1+2/0;2+2/1
5_5.123	5	5	8	3	0	1+2/0;2+2/1;4+4/1
5_5.124	5	5	8	3	0	1+2/0;2+2/1;3+3/1
5_5.125	5	5	8	3	0	1+2/0;2+2/1;3+3/1
5_5.126	5	5	8	2	0	1+2/0;3+3/1
5_5.127	5	5	8	1	0	1+2/0
5_5.128	5	5	8	2	0	1+2/0;3+3/1
5_5.129	5	5	8	2	0	1+2/0;2+2/1
5_5.13	5	5	8	2	0	1+2/0;3+3/1
5_5.130	5	5	8	2	0	1+2/0;2+2/1
5_5.131	5	5	8	1	0	1+2/0
5_5.132	5	5	8	1	0	1+2/0
5_5.133	5	5	8	0	-1	
5_5.134	5	5	8	0	-1	
5_5.135	5	5	8	0	-1	
5_5.136	5	5	8	0	-1	
5_5.137	5	5	8	0	-1	
5_5.138	5	5	8	0	-1	
5_5.139	5	5	8	2	0	2+2/1;2+3/0
5_5.14	5	5	8	2	0	1+2/0;3+3/1
5_5.140	5	5	8	2	0	2+2/1;2+3/0
5_5.141	5	5	8	2	0	2+2/1;2+3/0
5_5.142	5	5	8	2	0	2+2/1;2+3/0
5_5.143	5	5	8	2	0	2+2/1;2+3/0
5_5.144	5	5	8	2	0	2+2/1;2+3/0
5_5.145	5	5	8	2	0	1+2/0;2+2/1
5_5.146	5	5	8	2	0	1+2/0;2+2/1
5_5.147	5	5	8	3	0	1+2/0;2+2/1;4+4/1
5_5.148	5	5	8	2	0	1+2/0;2+2/1
5_5.149	5	5	8	2	0	1+2/0;2+2/1
5_5.15	5	5	8	4	0	1+2/0;2+2/1;2+3/0;3+3/1
5_5.150	5	5	8	1	0	1+2/0
5_5.151	5	5	8	0	-1	
5_5.152	5	5	8	0	-1	
5_5.153	5	5	8	0	-1	
5_5.154	5	5	8	0	-1	
5_5.155	5	5	8	1	1	3+3/1
5_5.156	5	5	8	1	1	3+3/1
5_5.157	5	5	8	1	1	3+3/1
5_5.158	5	5	8	1	1	3+3/1
5_5.159	5	5	8	2	1	2+2/1;3+3/1
5_5.16	5	5	8	3	0	1+2/0;2+2/1;2+3/0
5_5.160	5	5	8	2	1	2+2/1;3+3/1
5_5.161	5	5	8	2	1	2+2/1;3+3/1
5_5.162	5	5	8	2	1	2+2/1;3+3/1
5_5.163	5	5	8	1	1	2+2/1
5_5.164	5	5	8	1	1	2+2/1
5_5.165	5	5	8	1	1	2+2/1
5_5.166	5	5	8	1	1	2+2/1
5_5.167	5	5	8	4	0	1+2/0;2+2/1;2+3/0;3+3/1
5_5.168	5	5	8	4	0	1+2/0;2+2/1;2+3/0;3+3/1
5_5.169	5	5	8	4	0	1+2/0;2+2/1;2+3/0;3+3/1
5_5.17	5	5	8	2	0	1+2/0;2+2/1
5_5.170	5	5	8	4	0	1+2/0;2+2/1;2+3/0;3+3/1
5_5.171	5	5	8	1	1	2+2/1
5_5.172	5	5	8	1	1	2+2/1
5_5.173	5	5	8	1	1	2+2/1
5_5.174	5	5	8	1	1	2+2/1
5_5.175	5	5	8	1	1	2+2/1
5_5.176	5	5	8	1	1	2+2/1
5_5.177	5	5	8	2	0	1+2/0;2+2/1
5_5.178	5	5	8	4	0	1+2/0;2+2/1;2+3/0;3+3/1
5_5.179	5	5	8	4	0	1+2/0;2+2/1;2+3/0;3+3/1
5_5.18	5	5	8	2	0	1+2/0;2+2/1
5_5.180	5	5	8	3	0	1+2/0;2+2/1;2+3/0
5_5.181	5	5	8	3	0	1+2/0;2+2/1;2+3/0
5_5.182	5	5	8	3	0	1+2/0;2+2/1;2+3/0
5_5.183	5	5	8	3	0	1+2/0;2+2/1;2+3/0
5_5.184	5	5	8	0	-1	
5_5.185	5	5	8	0	-1	
5_5.186	5	5	8	2	0	2+2/1;2+3/0
5_5.187	5	5	8	2	0	2+2/1;2+3/0
5_5.188	5	5	8	2	0	1+2/0;2+2/1
5_5.19	5	5	8	3	0	1+2/0;2+2/1;3+3/1
5_5.2	5	5	8	2	0	1+2/0;2+2/1
5_5.20	5	5	8	3	0	1+2/0;2+2/1;3+3/1
5_5.21	5	5	8	2	0	1+2/0;2+2/1
5_5.22	5	5	8	2	0	1+2/0;2+2/1
5_5.23	5	5	8	3	0	1+2/0;2+2/1;3+3/1
5_5.24	5	5	8	3	0	1+2/0;2+2/1;3+3/1
5_5.25	5	5	8	2	0	1+2/0;2+2/1
5_5.26	5	5	8	3	0	1+2/0;2+2/1;4+4/1
5_5.27	5	5	8	4	0	1+2/0;2+2/1;3+3/1;4+4/1
5_5.28	5	5	8	2	0	1+2/0;2+2/1
5_5.29	5	5	8	3	0	1+2/0;2+2/1;4+4/1
5_5.3	5	5	8	1	0	1+2/0
5_5.30	5	5	8	4	0	1+2/0;2+2/1;2+3/0;4+4/1
5_5.31	5	5	8	3	0	1+2/0;2+2/1;3+3/1
5_5.32	5	5	8	2	0	1+2/0;2+2/1
5_5.33	5	5	8	2	0	1+2/0;2+2/1
5_5.34	5	5	8	1	0	1+2/0
5_5.35	5	5	8	1	0	1+2/0
5_5.36	5	5	8	2	0	1+2/0;2+2/1
5_5.37	5	5	8	2	0	1+2/0;2+2/1
5_5.38	5	5	8	1	0	1+2/0
5_5.39	5	5	8	1	0	1+2/0
5_5.4	5	5	8	2	0	1+2/0;3+3/1
5_5.40	5	5	8	2	0	1+2/0;3+3/1
5_5.41	5	5	8	2	0	1+2/0;4+4/1
5_5.42	5	5	8	3	0	1+2/0;2+2/1;2+3/0
5_5.43	5	5	8	1	1	2+2/1
5_5.44	5	5	8	1	1	2+2/1
5_5.45	5	5	8	1	1	2+2/1
5_5.46	5	5	8	1	1	2+2/1
5_5.47	5	5	8	1	1	2+2/1
5_5.48	5	5	8	1	1	2+2/1
5_5.49	5	5	8	1	1	2+2/1
5_5.5	5	5	8	2	0	1+2/0;2+2/1
5_5.50	5	5	8	1	1	2+2/1
5_5.51	5	5	8	1	1	2+2/1
5_5.52	5	5	8	2	1	2+2/1;4+4/1
5_5.53	5	5	8	2	1	2+2/1;4+4/1
5_5.54	5	5	8	2	0	2+2/1;2+3/0
5_5.55	5	5	8	1	1	2+2/1
5_5.56	5	5	8	3	1	2+2/1;3+3/1;4+4/1
5_5.57	5	5	8	4	0	2+2/1;2+3/0;3+3/1;4+4/1
5_5.58	5	5	8	1	1	2+2/1
5_5.59	5	5	8	0	-1	
5_5.6	5	5	8	2	0	1+2/0;2+2/1
5_5.60	5	5	8	0	-1	
5_5.61	5	5	8	0	-1	
5_5.62	5	5	8	0	-1	
5_5.63	5	5	8	1	1	3+3/1
5_5.64	5	5	8	1	1	3+3/1
5_5.65	5	5	8	1	1	3+3/1
5_5.66	5	5	8	1	1	3+3/1
5_5.67	5	5	8	3	0	2+2/1;2+3/0;3+3/1
5_5.68	5	5	8	3	0	2+2/1;2+3/0;3+3/1
5_5.69	5	5	8	3	0	2+2/1;2+3/0;3+3/1
5_5.7	5	5	8	2	0	1+2/0;3+3/1
5_5.70	5	5	8	3	0	2+2/1;2+3/0;3+3/1
5_5.71	5	5	8	2	0	2+2/1;2+3/0
5_5.72	5	5	8	2	0	2+2/1;2+3/0
5_5.73	5	5	8	2	0	2+2/1;2+3/0
5_5.74	5	5	8	2	0	2+2/1;2+3/0
5_5.75	5	5	8	2	0	1+2/0;2+2/1
5_5.76	5	5	8	2	0	1+2/0;2+2/1
5_5.77	5	5	8	2	0	1+2/0;3+3/1
5_5.78	5	5	8	1	0	1+2/0
5_5.79	5	5	8	1	0	1+2/0
5_5.8	5	5	8	1	0	1+2/0
5_5.80	5	5	8	2	0	1+2/0;3+3/1
5_5.81	5	5	8	2	0	1+2/0;3+3/1
5_5.82	5	5	8	2	0	1+2/0;3+3/1
5_5.83	5	5	8	4	0	1+2/0;2+2/1;3+3/1;3+4/0
5_5.84	5	5	8	1	1	2+2/1
5_5.85	5	5	8	1	1	2+2/1
5_5.86	5	5	8	1	1	2+2/1
5_5.87	5	5	8	1	1	2+2/1
5_5.88	5	5	8	1	1	2+2/1
5_5.89	5	5	8	2	1	2+2/1;4+4/1
5_5.9	5	5	8	2	0	1+2/0;3+3/1
5_5.90	5	5	8	2	0	2+2/1;2+3/0
5_5.91	5	5	8	2	0	2+2/1;2+3/0
5_5.92	5	5	8	3	0	2+2/1;2+3/0;4+4/1
5_5.93	5	5	8	2	0	2+2/1;2+3/0
5_5.94	5	5	8	2	0	2+2/1;2+3/0
5_5.95	5	5	8	2	0	2+2/1;2+3/0
5_5.96	5	5	8	1	1	2+2/1
5_5.97	5	5	8	2	1	2+2/1;3+3/1
5_5.98	5	5	8	3	0	2+2/1;2+3/0;3+3/1
5_5.99	5	5	8	2	0	2+2/1;2+3/0
6_0.1	6	0	5	0	-1	
6_0.10	6	0	5	2	0	2+2/0;3+2/1
6_0.11	6	0	5	1	1	3+2/1
6_0.2	6	0	5	0	-1	
6_0.3	6	0	5	1	1	3+2/1
6_0.4	6	0	5	1	1	3+2/1
6_0.5	6	0	5	1	0	2+2/0
6_0.6	6	0	5	1	0	2+2/0
6_0.7	6	0	5	1	1	3+2/1
6_0.8	6	0	5	3	0	2+2/0;3+2/1;3+3/0
6_0.9	6	0	5	2	0	2+2/0;3+2/1
6_1.1	6	1	5	0	-1	
6_1.10	6	1	5	1	1	2+2/1
6_1.11	6	1	5	0	-1	
6_1.2	6	1	5	0	-1	
6_1.3	6	1	5	0	-1	
6_1.4	6	1	5	0	-1	
6_1.5	6	1	5	1	1	2+2/1
6_1.6	6	1	5	2	1	2+2/1;3+3/1
6_1.7	6	1	5	0	-1	
6_1.8	6	1	5	1	1	2+2/1
6_1.9	6	1	5	1	1	2+2/1
6_2.1	6	2	6	0	-1	
6_2.10	6	2	6	3	0	2+2/1;2+3/0;3+3/1
6_2.11	6	2	6	2	1	2+2/1;3+3/1
6_2.12	6	2	6	1	0	1+2/0
6_2.13	6	2	6	1	0	1+2/0
6_2.14	6	2	6	1	0	1+2/0
6_2.15	6	2	6	1	0	1+2/0
6_2.16	6	2	6	1	0	1+2/0
6_2.17	6	2	6	1	0	1+2/0
6_2.18	6	2	6	1	0	1+2/0
6_2.19	6	2	6	1	0	1+2/0
6_2.2	6	2	6	0	-1	
6_2.20	6	2	6	1	0	1+2/0
6_2.21	6	2	6	1	0	1+2/0
6_2.22	6	2	6	1	0	1+2/0
6_2.23	6	2	6	2	0	1+2/0;2+2/1
6_2.24	6	2	6	2	0	1+2/0;2+2/1
6_2.25	6	2	6	2	0	1+2/0;2+2/1
6_2.26	6	2	6	2	0	1+2/0;2+2/1
6_2.27	6	2	6	2	0	1+2/0;2+2/1
6_2.28	6	2	6	3	0	1+2/0;2+2/1;2+3/0
6_2.29	6	2	6	3	0	1+2/0;2+2/1;2+3/0
6_2.3	6	2	6	1	1	3+3/1
6_2.30	6	2	6	3	0	1+2/0;2+2/1;2+3/0
6_2.31	6	2	6	2	0	1+2/0;2+2/1
6_2.32	6	2	6	0	-1	
6_2.33	6	2	6	2	1	2+2/1;3+3/1
6_2.34	6	2	6	2	1	2+2/1;3+3/1
6_2.35	6	2	6	3	0	2+2/1;2+3/0;3+3/1
6_2.36	6	2	6	1	1	2+2/1
6_2.37	6	2	6	1	1	2+2/1
6_2.4	6	2	6	2	1	2+2/1;3+3/1
6_2.5	6	2	6	3	0	2+2/1;2+3/0;3+3/1
6_2.6	6	2	6	4	0	2+2/1;2+3/0;3+3/1;3+4/0
6_2.7	6	2	6	1	1	3+3/1
6_2.8	6	2	6	3	0	1+2/0;2+2/1;2+3/0
6_2.9	6	2	6	3	0	1+2/0;2+2/1;2+3/0
6_3.1	6	3	7	1	0	1+2/0
6_3.10	6	3	7	2	0	1+2/0;3+3/1
6_3.11	6	3	7	2	0	1+2/0;3+3/1
6_3.12	6	3	7	0	-1	
6_3.13	6	3	7	0	-1	
6_3.14	6	3	7	1	1	2+2/1
6_3.15	6	3	7	0	-1	
6_3.16	6	3	7	2	0	2+2/1;2+3/0
6_3.17	6	3	7	3	0	2+2/1;3+3/1;3+4/0
6_3.18	6	3	7	1	1	2+2/1
6_3.19	6	3	7	2	0	2+2/1;2+3/0
6_3.2	6	3	7	1	0	1+2/0
6_3.20	6	3	7	1	1	2+2/1
6_3.21	6	3	7	2	0	1+2/0;2+2/1
6_3.22	6	3	7	1	0	1+2/0
6_3.23	6	3	7	1	0	1+2/0
6_3.24	6	3	7	1	0	1+2/0
6_3.25	6	3	7	1	0	1+2/0
6_3.26	6	3	7	1	0	1+2/0
6_3.27	6	3	7	2	0	1+2/0;3+3/1
6_3.28	6	3	7	2	0	1+2/0;3+3/1
6_3.29	6	3	7	1	0	1+2/0
6_3.3	6	3	7	1	0	1+2/0
6_3.30	6	3	7	2	0	1+2/0;3+3/1
6_3.31	6	3	7	2	0	1+2/0;3+3/1
6_3.32	6	3	7	2	0	1+2/0;3+3/1
6_3.33	6	3	7	2	0	1+2/0;2+2/1
6_3.34	6	3	7	2	0	1+2/0;2+2/1
6_3.35	6	3	7	2	0	1+2/0;2+2/1
6_3.36	6	3	7	2	0	1+2/0;2+2/1
6_3.37	6	3	7	3	0	1+2/0;2+2/1;3+3/1
6_3.38	6	3	7	3	0	1+2/0;2+2/1;3+3/1
6_3.39	6	3	7	3	0	1+2/0;2+2/1;3+3/1
6_3.4	6	3	7	1	0	1+2/0
6_3.40	6	3	7	3	0	1+2/0;2+2/1;3+3/1
6_3.41	6	3	7	2	0	1+2/0;2+2/1
6_3.42	6	3	7	1	0	1+2/0
6_3.43	6	3	7	1	0	1+2/0
6_3.44	6	3	7	2	0	1+2/0;3+3/1
6_3.45	6	3	7	1	0	1+2/0
6_3.46	6	3	7	1	1	2+2/1
6_3.47	6	3	7	1	1	2+2/1
6_3.48	6	3	7	1	1	2+2/1
6_3.49	6	3	7	1	1	2+2/1
6_3.5	6	3	7	1	0	1+2/0
6_3.50	6	3	7	1	1	2+2/1
6_3.51	6	3	7	2	1	2+2/1;4+4/1
6_3.52	6	3	7	1	1	2+2/1
6_3.53	6	3	7	2	0	2+2/1;2+3/0
6_3.54	6	3	7	2	0	2+2/1;2+3/0
6_3.55	6	3	7	4	0	1+2/0;2+2/1;2+3/0;3+3/1
6_3.56	6	3	7	3	0	1+2/0;2+2/1;3+3/1
6_3.57	6	3	7	1	1	2+2/1
6_3.58	6	3	7	2	0	2+2/1;2+3/0
6_3.59	6	3	7	0	-1	
6_3.6	6	3	7	3	0	1+2/0;3+3/1;4+4/1
6_3.60	6	3	7	0	-1	
6_3.61	6	3	7	1	1	3+3/1
6_3.62	6	3	7	3	0	2+2/1;2+3/0;3+3/1
6_3.63	6	3	7	2	0	2+2/1;2+3/0
6_3.64	6	3	7	2	0	2+2/1;2+3/0
6_3.65	6	3	7	2	0	2+2/1;2+3/0
6_3.66	6	3	7	1	1	2+2/1
6_3.67	6	3	7	1	1	2+2/1
6_3.68	6	3	7	1	1	2+2/1
6_3.69	6	3	7	1	1	2+2/1
6_3.7	6	3	7	1	0	1+2/0
6_3.70	6	3	7	1	0	1+2/0
6_3.71	6	3	7	1	0	1+2/0
6_3.72	6	3	7	0	-1	
6_3.73	6	3	7	2	1	2+2/1;3+3/1
6_3.74	6	3	7	1	1	2+2/1
6_3.75	6	3	7	2	0	1+2/0;2+2/1
6_3.76	6	3	7	2	0	1+2/0;2+2/1
6_3.77	6	3	7	2	0	1+2/0;2+2/1
6_3.78	6	3	7	2	0	1+2/0;2+2/1
6_3.79	6	3	7	3	0	1+2/0;2+2/1;3+3/1
6_3.8	6	3	7	2	0	1+2/0;2+2/1
6_3.80	6	3	7	4	0	1+2/0;2+2/1;3+3/1;4+4/1
6_3.81	6	3	7	2	0	1+2/0;2+2/1
6_3.82	6	3	7	2	0	1+2/0;2+2/1
6_3.83	6	3	7	2	0	1+2/0;2+2/1
6_3.84	6	3	7	2	0	1+2/0;2+2/1
6_3.85	6	3	7	2	0	1+2/0;2+2/1
6_3.86	6	3	7	2	0	1+2/0;2+2/1
6_3.87	6	3	7	1	1	2+2/1
6_3.88	6	3	7	1	1	2+2/1
6_3.89	6	3	7	1	1	2+2/1
6_3.9	6	3	7	3	0	1+2/0;2+2/1;3+3/1
6_3.90	6	3	7	1	1	2+2/1
6_3.91	6	3	7	1	1	2+2/1
